country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,8430,8620,8840,9230,9510,9870,10300,10700,11100,11600,12000,12300,12500,12800,13100,13400,13700,13900,14000,14100,14300,14600,14900,15200,15600,16000,16300
Iran,793,860,914,979,1040,1110,1180,1260,1330,1420,1500,1570,1630,1680,1740,1820,1910,2020,2150,2280,2420,2530,2670,2800,2940,3010,3080
Iraq,1100,1160,1210,1270,1330,1410,1500,1570,1600,1650,1740,1770,1870,1960,2010,2040,2060,2070,2100,2110,2150,2230,2270,2340,2420,2520,2620
Ireland,637,642,654,652,650,650,640,643,647,662,668,659,640,646,657,666,662,651,678,682,670,684,690,689,687,698,708
Israel,724,773,821,865,913,970,996,1000,1010,1030,1040,1040,1050,1050,1050,1060,1060,1070,1070,1070,1070,1080,1060,1080,1100,1120,1150
Italy,10400,10600,10700,10900,11000,11200,11300,11400,11600,11600,11700,11700,11800,12000,11900,12100,12400,12600,12700,12800,12700,12700,12800,12800,12900,13000,13100
Jamaica,193,196,203,210,219,230,242,256,265,271,283,293,296,304,310,315,318,330,341,351,358,362,371,379,387,395,403
Japan,6650,6890,7150,7430,7710,8060,8360,8720,9060,9410,9660,9930,10200,10400,10800,11100,11300,11500,11700,11800,11900,11900,12000,12100,11700,11600,11500
Jordan,148,157,162,178,189,204,217,224,231,240,249,259,268,282,301,321,332,337,343,351,362,376,393,413,434,457,474
Kazakhstan,1050,1040,996,1130,1230,1310,1370,1400,1410,1420,1440,1440,1450,1460,1520,1580,1610,1580,1540,1510,1490,1470,1450,1400,1350,1330,1350
Kenya,400,424,457,487,523,553,574,614,643,645,672,648,634,617,607,600,595,609,628,647,674,708,738,772,809,845,888
Kiribati,3.72,3.83,3.89,4.03,4.1,4.27,4.39,4.5,4.65,4.89,5.05,5.19,5.37,5.57,5.81,6.02,6.31,6.59,6.87,7.16,7.52,7.81,8.12,8.44,8.76,9.05,9.35
Kuwait,51.4,45.8,41.3,39.7,39.6,42,44,46.3,50.7,54.8,58,63.2,63.9,64.2,68.4,73.3,76.6,85.2,93.4,97.6,99.5,99.4,101,104,117,130,145
Kyrgyz Republic,209,214,225,233,253,254,246,238,230,232,226,225,231,239,244,248,254,254,249,243,237,241,238,235,239,243,248
Lao,202,207,213,220,226,234,242,250,257,265,272,282,285,290,296,305,310,315,320,326,330,331,336,342,349,357,364
Latvia,364,366,382,427,460,446,398,393,419,413,401,428,421,433,428,429,464,447,428,424,415,408,384,398,378,368,362
Lebanon,279,282,293,305,307,317,314,312,310,322,352,371,392,418,433,443,453,455,453,453,459,478,500,532,565,593,622
Lesotho,64,64.5,66.3,68.3,71.1,71.8,71.7,71.8,79.1,83.8,98,97.8,102,111,112,114,113,116,123,124,129,126,128,131,130,129,127
Liberia,71.2,71.6,71.8,71.2,73.9,75.8,82.3,87.9,93.6,98.6,106,109,114,115,120,124,131,140,148,157,165,173,180,188,195,203,210
Libya,105,109,114,119,124,130,135,142,150,158,166,173,180,187,195,201,207,218,227,235,243,257,267,278,291,306,320
Lithuania,434,463,463,523,552,552,539,515,525,519,524,555,542,566,552,588,600,618,626,557,558,558,544,539,502,511,504
Luxembourg,91.1,89.9,87.6,88.3,87.7,86.8,83.7,84.8,82.4,81.8,80.5,81.4,82,84.5,81.8,80.2,80.6,80.2,81,83.3,86.2,88.6,89.9,91.4,95.2,97.8,99.5
"Macedonia, FYR",212,214,214,214,218,224,230,239,247,255,263,270,277,283,289,293,301,307,312,316,324,328,332,335,336,337,338
Madagascar,397,408,421,440,444,458,469,486,499,504,518,528,551,570,590,599,615,635,663,695,730,758,789,823,856,892,922
Malawi,257,265,274,280,293,299,307,318,338,357,367,371,376,390,399,399,392,391,401,413,428,437,450,469,488,508,527
Malaysia,842,868,893,920,953,981,1010,1050,1080,1130,1190,1280,1360,1450,1510,1590,1630,1680,1720,1760,1800,1860,1920,1970,2020,2070,2120
Maldives,8.86,8.95,9.03,9.03,9.1,9.2,9.37,9.46,9.64,9.72,9.86,9.94,9.93,9.78,9.6,9.54,9.47,9.32,9.31,9.55,9.88,9.95,10.3,10.7,11.2,11.7,12.3
Mali,352,361,378,393,424,474,475,481,482,481,491,493,496,493,497,499,507,512,517,524,541,553,561,578,597,617,637
Malta,71.8,72.8,73.7,74.4,72.4,70.3,69.1,69.7,71.8,73.9,77.3,77.5,77,78.7,80.2,81.5,81.4,80.7,79.1,80.2,79.8,81.4,81.8,79.6,76.9,75.9,75.9
Marshall Islands,1.64,1.73,1.79,1.86,1.92,1.99,2.05,2.12,2.2,2.31,2.42,2.55,2.7,2.85,3.01,3.18,3.34,3.43,3.53,3.63,3.73,3.83,3.93,4.03,4.13,4.23,4.38
Mauritania,87,89.1,92,94.7,98.7,103,107,109,112,115,119,122,124,127,132,136,139,143,149,155,161,167,174,181,189,198,205
Mauritius,44,44.8,49.1,53.3,56.5,57.8,58.6,62,67.8,75.8,82.9,90.6,97.6,104,107,109,113,115,121,126,129,134,137,142,145,143,143
Mexico,2700,2790,2940,3090,3210,3390,3480,3630,3770,3860,3890,4010,4200,4380,4500,4720,4840,4960,5240,5560,5610,5690,5940,6270,6550,6630,6780
"Micronesia, Fed. Sts.",5.06,5.36,5.64,5.92,6.23,6.52,6.75,6.96,7.19,7.49,7.76,8.07,8.47,8.76,9.01,9.49,9.69,9.73,9.75,9.96,10.2,10.1,10.1,10.1,10.5,10.6,10.5
Moldova,461,499,464,495,554,572,545,461,431,454,468,472,481,493,479,517,527,527,526,522,534,472,483,468,496,516,512
Mongolia,42,44.3,46.9,49.6,52.3,56.2,60.5,64.1,66.2,67.8,68.5,69.7,71.6,73.7,75.1,75.8,76.5,76.4,76.8,79,81.5,82.3,83,83.7,84.2,86.4,89
Montenegro,70.4,72.1,73.8,75.9,78.4,80.8,83.2,85.3,86.8,88,88.4,88.2,88.2,88.2,89.3,90.2,90.5,88.8,87.9,88.5,90,91.7,93.1,93.7,93.9,94,94.2
Morocco,1240,1300,1370,1450,1520,1590,1640,1720,1770,1850,1910,1980,2090,2160,2240,2320,2390,2460,2530,2600,2670,2730,2810,2880,2950,3030,3090
Mozambique,492,504,527,543,557,567,578,590,574,561,555,520,516,504,503,513,510,526,531,547,570,585,602,631,685,751,794
Myanmar,3180,3270,3360,3450,3540,3620,3710,3800,3900,4000,4100,4170,4240,4290,4330,4370,4370,4380,4410,4440,4470,4500,4530,4560,4600,4650,4690
Namibia,48.5,49.8,51.4,53.5,56,59.7,61.8,66.2,69.9,75.4,81,83.4,85.5,89.7,91.3,92.1,93.6,94.5,95.7,99.9,97.6,97.6,99.9,102,105,109,111
Nepal,740,753,760,792,800,802,794,782,793,813,815,841,868,891,918,939,957,975,994,1010,1030,1060,1090,1130,1170,1210,1250
Netherlands,3240,3310,3380,3470,3530,3560,3610,3630,3660,3730,3730,3770,3820,3840,3780,3700,3700,3640,3650,3630,3650,3690,3690,3610,3550,3570,3610
New Zealand,558,573,576,579,593,609,626,624,630,635,634,648,656,660,667,667,670,672,679,687,688,693,703,712,719,734,749
Nicaragua,69,73.1,76.9,81.1,85.2,89.4,92.9,96.9,100,103,107,112,117,122,127,131,135,141,148,158,166,174,180,187,194,200,204
Niger,203,210,221,229,239,250,251,259,265,270,279,291,296,303,312,322,337,346,358,368,378,394,410,429,449,469,489
Nigeria,8140,8420,8730,9030,9200,9530,9710,9840,9850,9730,9720,9670,9950,9850,9840,9670,9550,9570,9280,9250,9190,9160,9300,9630,9970,10500,11000
North Korea,641,659,679,697,724,754,782,813,848,892,934,974,1010,1040,1080,1110,1130,1160,1190,1220,1260,1290,1310,1340,1370,1400,1420
Norway,793,802,815,825,823,824,828,826,820,808,806,806,804,788,771,758,744,735,722,722,725,723,724,724,717,719,727
Oman,30.9,31.5,32.2,32.8,33.6,34.4,35.1,35.9,36.9,38,39.2,40.4,41.9,43.7,45.5,46.9,49.3,51.9,54.6,59.1,62.4,65,68.6,73.4,78.6,84,88.5
Pakistan,5480,5870,6390,6940,7480,8130,8520,9030,9480,9910,10300,10700,11100,11600,11800,12100,12300,12500,12700,13000,13300,13600,14000,14500,15100,15700,16100
Palestine,71.2,73.6,75.9,78.3,80.8,83.8,87.2,90.8,94.3,98.7,103,106,109,116,122,127,133,139,144,151,161,173,186,201,220,235,250
Panama,104,108,111,113,116,120,125,129,134,135,142,145,145,153,159,164,170,179,190,197,206,217,227,234,242,244,245
Papua New Guinea,194,203,211,217,224,233,240,248,258,268,278,292,308,321,336,352,367,382,397,412,426,440,453,465,479,492,504
Paraguay,150,161,170,178,186,192,203,215,227,239,253,268,286,305,323,341,358,372,387,403,418,435,452,467,482,494,506
Peru,691,722,775,834,882,912,935,948,958,969,973,982,1000,1030,1040,1050,1040,1050,1090,1150,1200,1230,1250,1250,1250,1290,1320
Philippines,2470,2600,2810,3010,3210,3390,3550,3790,4010,4330,4570,4830,5100,5370,5560,5790,6090,6370,6670,6970,7300,7520,7730,7810,7920,8030,8110
Poland,4570,4780,4810,4810,4930,5080,5180,5350,5310,5280,5240,5230,5180,5190,5260,5400,5520,5630,5660,5760,5660,5770,5910,5920,5850,5800,5790
Portugal,1670,1700,1720,1750,1760,1790,1810,1820,1830,1830,1840,1860,1850,1850,1830,1870,1860,1850,1840,1840,1840,1840,1870,1850,1840,1840,1850
Qatar,15.3,16.2,16.8,17.8,18.6,19.3,19.6,20.2,21.1,22.5,23.5,23.2,25.1,27,28.3,28.7,29.8,31.9,34.9,38.5,41.8,44.5,48,50,54.6,59,64.1
Romania,2410,2430,2490,2550,2630,2750,2840,2850,2860,2840,2870,2960,3020,3040,2990,3050,3030,3020,3090,3160,3130,3000,3040,3110,3150,3100,3050
Russia,16200,16600,18000,21200,23100,22100,20800,20000,20000,21700,22600,23100,23800,24400,24500,24900,23700,23300,23800,23100,23400,22900,22300,22100,22300,22700,23500
Rwanda,255,263,252,242,238,238,251,265,286,301,303,297,289,283,279,278,288,297,311,329,350,368,385,410,436,463,485
Samoa,8.58,8.83,9.09,9.35,9.62,9.9,10.1,10.4,10.6,10.7,10.8,11,11.2,11.5,11.8,12.2,12.3,12.7,13,13.4,13.8,14.3,14.6,14.9,15.3,15.6,15.8
Sao Tome and Principe,3.58,3.67,3.78,3.91,4.03,4.14,4.36,4.5,4.57,4.61,4.75,4.75,4.81,4.82,4.91,4.89,4.99,5.06,5.1,5.27,5.45,5.55,5.74,5.8,5.96,6.14,6.32
Saudi Arabia,251,266,281,298,318,339,362,386,418,452,480,500,527,549,569,592,613,635,658,690,721,751,781,804,827,854,878
Senegal,238,248,259,266,284,291,302,314,329,349,359,375,386,397,417,435,452,468,488,506,525,546,569,595,621,650,674
Serbia,1360,1390,1440,1490,1550,1610,1660,1690,1720,1760,1800,1810,1830,1850,1870,1870,1870,1880,1870,1890,1910,1910,1900,1890,1890,1880,1860
Seychelles,4.8,4.85,4.98,5.15,5.38,5.65,6.14,6.61,7.01,7.3,7.58,7.8,8.14,8.48,8.82,9.05,9.11,9.08,9.03,9.29,9.62,9.87,10.2,10.6,11,11.3,11.5
Sierra Leone,140,139,138,135,136,138,139,144,143,146,148,156,169,177,188,197,205,217,224,233,242,250,259,266,275,287,298
Singapore,182,188,193,204,212,220,229,241,249,262,268,279,289,297,302,315,321,321,331,350,358,368,375,391,392,392,390
Slovak Republic,651,667,669,683,693,711,715,740,749,763,764,774,770,776,787,795,805,818,808,819,812,824,835,845,842,853,866
Slovenia,307,325,335,344,348,351,361,369,385,400,395,399,399,402,407,409,404,405,399,400,396,393,394,391,375,389,391
Solomon Islands,15.3,16,16.7,17.4,18.2,18.9,19.8,21.2,22.3,24,24.6,26.1,27.6,29.1,30.6,32.3,34,36,37.8,39.4,40.7,42.1,43.5,45,46.7,48.5,49.7
